name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
정릉4동,37.61607225,127.0086036,8888,11568,2020,772,52,178,143,27398,2,4,3,3,3,3,2,2,4,88.05,85.01,91.02
정릉2동,37.60456104,127.0107223,21033,9209,1694,639,37,167,125,24493,1,1,2,2,2,2,1,1,2,89.27,84.19,93.4
가락본동,37.50194235,127.1271578,25128,37436,7113,276,241,1511,589,28230,1,1,1,1,1,1,1,1,1,99.64,93.92,102.95
가락2동,37.49818447,127.1253138,36525,21580,5218,311,58,235,245,34867,5,3,4,4,5,4,3,2,4,96.49,95.63,96.94
거여 2동,37.4950966,127.146559,36998,14923,4297,1021,32,124,150,18270,2,2,2,1,2,3,1,2,2,99.27,101.15,98.01
마천1동,37.4970263,127.1482093,39503,7492,1973,1021,107,453,150,22447,3,2,3,2,3,5,1,1,5,91.16,91.35,92.36
문정1동,37.48515836,127.1297198,38679,24198,6078,193,215,1078,178,21773,3,2,3,3,4,4,2,1,3,97.91,89.7,102.81
방이 1동,37.51024667,127.1257457,32716,24744,3853,175,169,841,250,16799,4,3,4,4,5,4,5,2,5,122.81,131.87,114.59
삼전동,37.5026727,127.0927504,35633,18345,3422,688,169,585,321,33804,3,4,4,3,4,3,4,1,4,100.59,104.88,98.39
잠실4동,37.52014217,127.1125634,19573,52513,23069,25,68,513,61,30466,1,2,3,3,2,1,3,1,4,88.18,85.39,90.81
오금동,37.50689961,127.1281016,22466,27998,5929,599,124,612,295,37267,2,1,2,2,2,2,2,2,2,99.43,92.38,103.26
잠실2동,37.51209786,127.0821389,16905,26827,5443,14,39,191,105,36951,3,5,5,5,5,5,4,2,4,89.64,83.63,93.93
풍납2동,37.52875526,127.1167714,16253,23319,4766,393,43,187,156,25550,2,2,2,2,2,2,1,2,3,91.42,87.49,94.6
신월5동,37.53980174,126.8299813,23755,7556,,456,58,254,143,16160,1,1,1,1,1,1,1,1,1,94.72,99.22,92.68
신정6동,37.51658213,126.8655777,19383,25756,,157,39,129,63,25726,1,1,1,1,1,1,1,1,1,88.86,85.21,91.8
목5동,37.53515476,126.8784576,24302,53375,,13,91,385,183,43672,1,5,4,5,3,4,3,1,1,87.47,83.83,90.61
목3동,37.54452912,126.8623651,41519,11584,,646,114,348,206,22252,2,4,4,4,4,5,2,1,4,90.9,88.64,93.35
신월1동,37.5320564,126.8322526,35889,10484,,1135,108,424,248,23078,3,1,4,3,4,4,3,1,4,117.96,119.62,114.89
신월7동,37.52054101,126.834387,19742,6850,,656,71,273,157,23294,3,3,5,4,5,4,3,1,5,91.53,89.4,93.55
신월5동,37.53907473,126.8306754,23755,7556,,456,58,254,143,16160,2,4,2,2,2,2,3,3,2,94.72,99.22,92.68
신정1동,37.52030115,126.8607671,31220,20372,,222,64,372,230,21934,2,2,3,3,4,3,5,1,2,119.61,120.51,116.33
신정4동,37.52445264,126.863574,35954,17962,,943,181,824,471,36588,4,4,5,5,5,4,4,3,3,95.23,92.39,97.58
신정3동,37.51492061,126.8549858,19485,24999,,1440,104,385,212,51127,2,2,3,3,3,3,4,2,3,91.54,89.01,93.83
당산1동,37.52585046,126.9011333,28347,28785,4015,336,133,888,565,21344,1,1,1,1,1,1,1,2,1,111.32,105.96,112.98
당산2동,37.5336155,126.9012647,23560,41324,5998,144,122,676,373,35545,2,3,2,2,1,2,1,1,2,101.48,90.84,107.32
대림2동,37.49343217,126.8987032,41869,9928,1455,422,89,298,348,21733,5,4,2,3,4,3,5,2,5,96.61,89.28,100.63
대림3동,37.49831505,126.8980362,30621,18594,2307,571,79,357,325,29774,5,2,2,2,2,2,3,1,4,95.2,90.34,98.25
문래동,37.51358134,126.8976489,21362,59254,7341,202,95,920,480,31618,2,2,3,3,2,2,3,1,2,97.16,88.16,102.3
신길1동,37.51345081,126.9141879,33085,8593,1196,650,166,863,231,21176,3,3,3,3,3,4,3,1,4,96.67,95.32,98.28
신길6동,37.49909092,126.9127864,31549,9367,1855,349,63,172,208,20162,4,3,3,3,3,1,2,2,2,94.59,91.57,96.79
양평1동,37.52267886,126.8895497,19697,26799,2785,216,90,556,278,17259,4,3,5,4,4,3,3,2,3,98.34,94.78,100.42
여의도동,37.52961916,126.9266935,4044,510310,31916,64,208,2678,1653,33768,4,3,5,4,3,4,3,1,2,114.11,94.78,123.17
영등포본동,37.51535403,126.9057273,25833,14313,2345,653,57,1952,246,25804,4,3,4,2,2,1,3,3,1,101.53,93.78,105.53
영등포동(3가),37.51801161,126.9075157,16613,94057,11711,1089,276,255,1132,22422,5,5,5,5,5,5,4,2,4,243.89,221.49,238.61
보광동,37.52671546,127.0002474,23927,7586,1942,599,89,251,168,16630,1,1,2,2,2,3,2,1,3,107.29,127.61,94.87
한강로동,37.53610839,126.97471,5677,130240,21426,269,115,1068,602,17362,1,1,2,3,2,2,3,2,1,138.28,126.37,140.57
후암동,37.54915922,126.9784808,22451,10490,1862,678,57,260,166,18913,4,5,4,4,4,4,4,2,5,116.19,117.93,113.16
원효로1동,37.53877894,126.9659636,24944,22731,5768,222,63,461,302,15068,4,5,3,4,4,5,3,2,4,102.7,94.09,107.54
이촌1동,37.52079789,126.9717152,10187,52464,11217,37,61,330,191,28851,1,3,1,1,1,1,1,1,2,89.09,87.33,91.04
이태원1동,37.53431257,126.9944018,15449,29752,3847,157,81,1049,608,8747,2,4,5,5,5,2,5,1,2,265.19,217.09,271.48
용산2가동,37.52404281,126.9703285,6503,4080,643,413,42,229,137,12442,1,1,3,2,2,3,2,1,1,94.78,93.65,95.93
한남동,37.53108335,127.0063447,7785,95424,11068,441,101,875,537,23611,3,2,4,3,3,2,4,1,3,118.04,109.82,120.83
녹번동,37.60881253,126.9318346,18474,17216,2892,888,100,492,254,33021,1,1,1,1,1,3,2,1,2,102.12,100.87,102.66
신사2동,37.59177996,126.9053592,22255,6527,1136,765,55,100,74,22196,3,2,4,4,4,4,1,2,4,95.87,93.71,97.18
응암1동,37.60163381,126.9264462,23158,16728,2568,689,170,980,274,26654,2,4,3,3,3,2,3,1,3,98.3,96.57,99.87
