name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling
신월5동,37.53980174,126.8299813,23755,7556,,456,58,254,143,16160,1,1,1,1,1,1,1,1,1
신정6동,37.51658213,126.8655777,19383,25756,,157,39,129,63,25726,1,1,1,1,1,1,1,1,1
목5동,37.53515476,126.8784576,24302,53375,,13,91,385,183,43672,1,5,4,5,3,4,3,1,1
목3동,37.54452912,126.8623651,41519,11584,,646,114,348,206,22252,2,4,4,4,4,5,2,1,4
신월1동,37.5320564,126.8322526,35889,10484,,1135,108,424,248,23078,3,1,4,3,4,4,3,1,4
신월7동,37.52054101,126.834387,19742,6850,,656,71,273,157,23294,3,3,5,4,5,4,3,1,5
신월5동,37.53907473,126.8306754,23755,7556,,456,58,254,143,16160,2,4,2,2,2,2,3,3,2
신정1동,37.52030115,126.8607671,31220,20372,,222,64,372,230,21934,2,2,3,3,4,3,5,1,2
신정4동,37.52445264,126.863574,35954,17962,,943,181,824,471,36588,4,4,5,5,5,4,4,3,3
신정3동,37.51492061,126.8549858,19485,24999,,1440,104,385,212,51127,2,2,3,3,3,3,4,2,3
당산1동,37.52585046,126.9011333,28347,28785,4015,336,133,888,565,21344,1,1,1,1,1,1,1,2,1
당산2동,37.5336155,126.9012647,23560,41324,5998,144,122,676,373,35545,2,3,2,2,1,2,1,1,2
대림2동,37.49343217,126.8987032,41869,9928,1455,422,89,298,348,21733,5,4,2,3,4,3,5,2,5
대림3동,37.49831505,126.8980362,30621,18594,2307,571,79,357,325,29774,5,2,2,2,2,2,3,1,4
문래동,37.51358134,126.8976489,21362,59254,7341,202,95,920,480,31618,2,2,3,3,2,2,3,1,2
신길1동,37.51345081,126.9141879,33085,8593,1196,650,166,863,231,21176,3,3,3,3,3,4,3,1,4
신길6동,37.49909092,126.9127864,31549,9367,1855,349,63,172,208,20162,4,3,3,3,3,1,2,2,2
양평1동,37.52267886,126.8895497,19697,26799,2785,216,90,556,278,17259,4,3,5,4,4,3,3,2,3
여의도동,37.52961916,126.9266935,4044,510310,31916,64,208,2678,1653,33768,4,3,5,4,3,4,3,1,2
영등포본동,37.51535403,126.9057273,25833,14313,2345,653,57,1952,246,25804,4,3,4,2,2,1,3,3,1
영등포동(3가),37.51801161,126.9075157,16613,94057,11711,1089,276,255,1132,22422,5,5,5,5,5,5,4,2,4
보광동,37.52671546,127.0002474,23927,7586,1942,599,89,251,168,16630,1,1,2,2,2,3,2,1,3
한강로동,37.53610839,126.97471,5677,130240,21426,269,115,1068,602,17362,1,1,2,3,2,2,3,2,1
후암동,37.54915922,126.9784808,22451,10490,1862,678,57,260,166,18913,4,5,4,4,4,4,4,2,5
원효로1동,37.53877894,126.9659636,24944,22731,5768,222,63,461,302,15068,4,5,3,4,4,5,3,2,4
이촌1동,37.52079789,126.9717152,10187,52464,11217,37,61,330,191,28851,1,3,1,1,1,1,1,1,2
이태원1동,37.53431257,126.9944018,15449,29752,3847,157,81,1049,608,8747,2,4,5,5,5,2,5,1,2
용산2가동,37.52404281,126.9703285,6503,4080,643,413,42,229,137,12442,1,1,3,2,2,3,2,1,1
한남동,37.53108335,127.0063447,7785,95424,11068,441,101,875,537,23611,3,2,4,3,3,2,4,1,3
녹번동,37.60881253,126.9318346,18474,17216,2892,888,100,492,254,33021,1,1,1,1,1,3,2,1,2
신사2동,37.59177996,126.9053592,22255,6527,1136,765,55,100,74,22196,3,2,4,4,4,4,1,2,4
응암1동,37.60163381,126.9264462,23158,16728,2568,689,170,980,274,26654,2,4,3,3,3,2,3,1,3
응암3동,37.59052771,126.9175349,43098,11014,1833,1252,113,335,412,26764,1,3,2,2,2,1,1,1,1
대조동,37.61114621,126.9289829,39394,20633,3034,1222,181,847,530,33501,2,4,3,3,3,1,2,1,2
불광2동,37.62141961,126.9265808,21653,10012,1797,1405,123,287,219,30125,2,2,4,4,4,3,4,3,3
역촌동,37.60458862,126.9150642,43624,20087,2794,1506,186,691,378,50615,1,3,2,2,2,2,3,2,2
갈현2동,37.61521137,126.9127098,32219,12807,2011,1002,107,365,317,30982,3,5,5,5,5,4,5,1,4
진관동,37.63994738,126.9208522,4667,30526,5866,716,78,569,216,54954,2,1,1,1,1,1,1,1,1
이화동,37.57861279,127.0060453,11445,20860,1791,184,21,502,359,8794,2,1,5,4,3,4,2,1,2
창신2동,37.57598518,127.010528,41158,10068,597,380,26,108,116,10338,1,2,1,2,2,4,2,1,1
숭인2동,37.57269758,127.0171188,28994,26603,2056,303,53,155,266,10113,2,3,4,5,5,4,5,1,3
혜화동,37.58927708,126.9975996,18219,24340,2454,218,72,845,632,20668,1,1,3,3,2,2,3,1,2
"종로5,6가동",37.57074185,127.0016346,9625,78292,4311,228,66,773,628,5733,3,5,5,4,5,5,4,1,5
창신3동,37.57849324,127.0135397,33709,7243,464,183,13,34,27,7546,4,4,3,3,4,1,3,1,3
혜화동,37.58610921,127.0014085,18219,24340,2454,218,72,845,632,20668,1,1,2,2,1,1,3,1,1
청운효자동,37.58147415,126.969428,5491,19314,2056,188,16,378,246,13734,1,1,2,1,1,3,1,1,2
"종로1,2,3,4가동",37.57050348,126.9889249,3714,193980,24936,563,279,3146,2304,8571,4,4,5,5,5,5,5,3,5
평창동,37.60524877,126.9666338,2194,32937,4576,124,42,248,155,19233,2,2,2,2,2,2,2,1,2
사직동,37.57630584,126.9686196,8141,84998,11872,102,100,1277,856,9687,3,3,3,1,2,1,3,1,5
삼청동,37.58140812,126.9811207,2093,13835,2255,50,4,368,261,3137,2,2,3,3,2,3,2,2,1
명동,37.5689483275493,126.9764285,3560,390815,23508,57,237,2102,1294,3494,2,2,4,3,2,2,1,1,2
신당동/신당1동,37.56526665,127.0133788,17144,26962,2977,248,101,1052,342,9550,3,4,4,5,5,5,4,2,5
신당5동,37.56504283,127.0163851,26062,5094,998,266,43,185,221,9944,1,3,2,3,3,3,5,2,3
약수동/신당3동,37.55214464,127.0123806,39158,12361,2604,585,53,147,137,18465,2,1,3,4,4,4,2,1,2
광희동,37.56647468,127.0039435,8150,59406,7108,122,123,1149,682,5893,1,2,5,5,4,3,4,1,4
을지로동,37.5661826,126.9928464,3043,40362,34374,84,68,815,570,1801,1,2,2,4,2,3,3,1,5
장충동,37.55876212,127.0048033,4298,34599,32370,94,26,206,167,5689,1,1,1,1,1,1,1,1,1
필동,37.56087984,126.9915898,4491,40138,34876,94,67,810,476,4897,1,1,3,2,2,2,2,1,2
회현동,37.55901213,126.9763909,7295,261845,10452,486,125,1595,655,5968,1,2,2,3,3,3,1,1,1
소공동,37.56382687,126.9754658,2733,357167,21770,16,95,1257,743,2711,2,1,2,1,2,1,1,1,1
중림동,37.55788907,126.9671153,18546,12728,1871,431,55,306,212,10660,3,1,3,2,4,3,2,1,4
명동,37.56800835,126.9799921,3560,390815,23508,57,237,2102,1294,3494,3,2,5,5,5,2,4,2,4
신내1동,37.61825356,127.1044698,16610,14777,2259,863,92,386,234,41820,1,1,1,1,1,1,1,1,1
망우본동,37.59911376,127.0956532,11470,32613,2094,1423,151,510,459,32603,5,5,4,4,4,4,4,2,5
묵1동,37.61461362,127.0815357,28763,20512,3201,646,101,423,243,36126,2,1,3,3,2,1,5,1,2
면목본동,37.58820183,127.0938799,36474,14056,2094,1423,159,542,379,36937,3,3,4,3,4,5,5,1,3
"면목3,8동",37.58320685,127.0841552,16849,10960,1793,1107,109,496,397,27826,4,2,2,2,2,2,2,1,2
신내2동,37.61478332,127.0955307,23748,9818,1612,1041,62,214,122,23172,2,4,3,3,3,3,4,2,5
면목2동,37.59132691,127.0728507,37567,11036,1807,937,125,450,244,27231,3,4,5,5,5,5,5,3,3
면목5동,37.58094288,127.0799367,16913,4589,851,407,37,150,92,10526,4,3,4,3,3,4,5,1,3
중화2동,37.59798743,127.0722094,29161,10672,1966,1332,119,499,404,28706,4,3,3,4,4,4,3,1,4
